ID,Gender,EthnicGroup,ParentEduc,,TestPrep,ParentMaritalStatus,PracticeSport,WklyStudyHours,MathScore,MathGrade,ReadingScore,ReadingGrade,WritingScore,WritingGrade,OverallGrade
45,male,group B,associate's degree,,none,single,sometimes,< 5,63,D,53,F,55,E,F
47,female,group C,high school,,none,married,regularly,10-May,67,D,72,C,77,C,C
49,male,group C,high school,,completed,married,sometimes,10-May,82,B,84,B,82,B,B
50,male,group E,some college,,none,married,,> 10,54,F,55,E,48,F,F
51,male,,associate's degree,,completed,married,regularly,< 5,76,C,68,D,68,D,C
52,male,group C,some college,,none,divorced,regularly,> 10,56,E,45,F,43,F,F
53,male,group D,high school,,none,single,sometimes,10-May,88,B,78,C,75,C,B
54,female,,some high school,,completed,married,regularly,> 10,75,C,86,B,90,A,B
55,female,group C,high school,,none,divorced,sometimes,10-May,33,F,41,F,43,F,F
56,female,group E,associate's degree,,completed,married,sometimes,> 10,84,B,86,B,87,B,B
57,male,group D,associate's degree,,none,single,sometimes,10-May,52,F,55,E,49,F,F
58,male,group D,,,completed,married,regularly,> 10,61,D,60,D,60,D,D
59,female,group C,some high school,,none,single,regularly,> 10,0,F,17,F,10,F,F
61,male,group A,some high school,,none,married,sometimes,10-May,39,F,39,F,34,F,F
62,male,group A,associate's degree,,none,married,sometimes,10-May,62,D,61,D,55,E,F
64,female,group D,some high school,,none,married,sometimes,10-May,59,E,58,E,59,E,F
65,male,group B,some high school,,none,married,never,< 5,63,D,62,D,58,E,D
66,male,group D,some high school,,none,married,sometimes,10-May,45,F,37,F,37,F,F
67,female,group C,some college,,none,married,regularly,10-May,61,D,73,C,75,C,D
68,male,group B,associate's degree,,none,divorced,regularly,,62,D,58,E,57,E,F
69,female,group C,associate's degree,,none,single,sometimes,10-May,39,F,64,D,57,E,F
71,male,group D,some college,,completed,divorced,sometimes,> 10,64,D,55,E,64,D,D
72,female,group A,associate's degree,,none,single,regularly,10-May,42,F,51,F,49,F,F
73,male,group C,some high school,,none,divorced,never,10-May,59,E,56,E,54,F,F
74,male,group C,some high school,,,married,sometimes,< 5,47,F,48,F,40,F,F
75,male,group B,associate's degree,,none,divorced,sometimes,10-May,44,F,41,F,38,F,F
76,male,group E,some high school,,none,,sometimes,10-May,28,F,25,F,21,F,F
77,male,group A,,,completed,,regularly,10-May,82,B,79,C,83,B,B
78,female,group D,some high school,,completed,divorced,sometimes,> 10,62,D,75,C,73,C,C
79,female,group E,master's degree,,none,divorced,never,10-May,60,D,68,D,68,D,D
80,female,group B,associate's degree,,none,married,regularly,> 10,49,F,50,F,52,F,F
81,male,group B,high school,,none,married,sometimes,,49,F,45,F,45,F,F
82,male,group A,some college,,completed,married,sometimes,10-May,50,F,47,F,54,F,F
83,male,group E,associate's degree,,none,married,regularly,10-May,74,C,64,D,64,D,D
84,male,group D,high school,,none,married,never,10-May,40,F,38,F,33,F,F
85,female,group C,some college,,none,divorced,sometimes,10-May,73,C,80,B,82,B,C
86,female,group C,some college,,none,married,sometimes,< 5,73,C,81,B,86,B,B
87,female,group D,associate's degree,,none,single,sometimes,10-May,71,C,71,C,74,C,C
88,female,group A,some college,,none,divorced,regularly,< 5,57,E,69,D,67,D,D
89,female,group D,some high school,,none,single,sometimes,> 10,75,C,87,B,83,B,B
91,male,group C,high school,,none,divorced,regularly,10-May,27,F,34,F,36,F,F
92,male,group C,high school,,none,divorced,sometimes,< 5,68,D,77,C,69,D,C
93,male,group C,associate's degree,,completed,married,regularly,> 10,45,F,46,F,52,F,F
94,female,group B,some college,,none,married,regularly,10-May,81,B,87,B,94,A,B
96,male,group B,some high school,,completed,married,regularly,10-May,63,D,65,D,61,D,D
97,female,,some college,,completed,married,never,< 5,59,E,69,D,66,D,D
98,female,group D,some college,,none,single,regularly,> 10,61,D,69,D,64,D,D
99,female,group D,bachelor's degree,,none,married,regularly,< 5,64,D,66,D,62,D,D
100,male,group B,some college,,none,married,sometimes,10-May,79,C,67,D,67,D,C
101,male,group D,bachelor's degree,,completed,single,sometimes,10-May,68,D,74,C,74,C,C
102,female,group D,associate's degree,,none,married,regularly,10-May,87,B,92,A,91,A,A
103,male,group B,high school,,completed,married,regularly,10-May,61,D,44,F,48,F,F
104,male,,some college,,completed,married,regularly,> 10,100,A,88,B,94,A,A
105,female,group C,some college,,none,married,sometimes,10-May,58,E,67,D,72,C,D
106,female,group D,master's degree,,none,married,sometimes,10-May,87,B,100,A,100,A,A
107,male,group E,,,completed,single,sometimes,10-May,66,D,63,D,64,D,D
108,female,group B,associate's degree,,none,married,sometimes,10-May,52,F,76,C,70,C,D
109,female,group B,some high school,,none,single,regularly,10-May,72,C,64,D,73,C,D
110,female,group D,associate's degree,,completed,single,sometimes,> 10,79,C,90,A,99,A,B
111,male,group C,high school,,none,single,regularly,10-May,63,D,55,E,50,F,F
112,male,group A,associate's degree,,none,married,sometimes,10-May,54,F,53,F,47,F,F
113,female,group D,some college,,none,married,never,< 5,47,F,56,E,51,F,F
114,female,group E,bachelor's degree,,completed,married,regularly,< 5,98,A,99,A,100,A,A
115,male,group C,high school,,none,married,sometimes,10-May,84,B,77,C,74,C,C
116,female,group B,bachelor's degree,,none,single,never,10-May,72,C,83,B,79,C,C
117,female,group D,bachelor's degree,,none,married,never,10-May,75,C,80,B,77,C,C
118,female,group D,some high school,,none,single,regularly,> 10,54,F,64,D,63,D,D
119,female,group C,some college,,none,divorced,sometimes,10-May,55,E,69,D,65,D,D
120,female,group C,bachelor's degree,,completed,married,never,10-May,76,C,90,A,86,B,B
121,male,group B,associate's degree,,completed,married,sometimes,< 5,88,B,87,B,90,A,B
122,female,group C,some college,,completed,single,regularly,10-May,90,A,94,A,95,A,A
123,male,group D,high school,,none,married,sometimes,,63,D,57,E,56,E,F
124,male,group E,some college,,none,single,regularly,< 5,82,B,79,C,73,C,C
125,female,group B,high school,,none,single,never,> 10,86,B,94,A,85,B,B
126,male,group B,,,none,married,,10-May,72,C,68,D,67,D,D
127,male,group D,some college,,,married,regularly,< 5,64,D,76,C,74,C,C
128,male,group D,master's degree,,none,single,never,< 5,77,C,81,B,72,C,C
129,female,group A,bachelor's degree,,none,,regularly,10-May,52,F,49,F,52,F,F
130,male,group D,master's degree,,none,single,sometimes,< 5,87,B,84,B,82,B,B
131,male,group C,some high school,,completed,single,regularly,< 5,52,F,36,F,40,F,F
132,male,,some college,,completed,married,regularly,10-May,89,B,75,C,71,C,C
133,female,,some college,,completed,married,never,< 5,70,C,78,C,80,B,C
134,male,group D,bachelor's degree,,completed,married,sometimes,> 10,76,C,80,B,76,C,C
135,male,group C,bachelor's degree,,none,married,sometimes,< 5,56,E,54,F,47,F,F
136,male,group B,some high school,,completed,divorced,sometimes,10-May,51,F,54,F,41,F,F
137,male,group E,high school,,none,divorced,sometimes,< 5,67,D,54,F,54,F,F
138,female,group C,associate's degree,,,married,sometimes,10-May,59,E,66,D,67,D,D
139,male,group D,some college,,completed,married,sometimes,> 10,73,C,61,D,70,C,D
140,female,group D,some high school,,none,married,sometimes,10-May,76,C,72,C,71,C,C
141,female,group C,some college,,none,married,regularly,10-May,60,D,62,D,65,D,D
142,female,group E,some college,,completed,single,regularly,< 5,41,F,54,F,54,F,F
143,male,group A,high school,,none,single,sometimes,10-May,57,E,43,F,47,F,F
144,male,group D,some college,,none,divorced,sometimes,> 10,90,A,74,C,79,C,B
145,female,group C,some college,,none,single,regularly,< 5,21,F,38,F,33,F,F
148,female,group D,bachelor's degree,,completed,married,sometimes,< 5,65,D,73,C,79,C,C
149,male,group E,associate's degree,,completed,married,regularly,10-May,100,A,100,A,95,A,A
150,male,group A,some high school,,completed,married,sometimes,10-May,62,D,67,D,69,D,D
152,female,group B,associate's degree,,completed,single,sometimes,< 5,57,E,68,D,64,D,D
153,male,group D,bachelor's degree,,none,married,sometimes,10-May,54,F,49,F,47,F,F
154,male,group D,some high school,,none,single,never,< 5,58,E,65,D,58,E,D
155,female,group C,some college,,completed,married,regularly,< 5,69,D,88,B,88,B,B
156,female,group E,high school,,completed,married,regularly,10-May,67,D,75,C,79,C,C
157,male,group B,,,none,,sometimes,< 5,58,E,59,E,58,E,F
158,female,group B,associate's degree,,,divorced,regularly,10-May,62,D,87,B,89,B,C
159,male,group D,associate's degree,,none,married,regularly,> 10,70,C,63,D,66,D,D
160,male,group B,associate's degree,,completed,single,sometimes,10-May,82,B,78,C,74,C,C
161,female,group E,some college,,completed,married,sometimes,10-May,75,C,88,B,85,B,B
162,male,group B,master's degree,,none,single,never,10-May,48,F,53,F,52,F,F
163,male,group C,high school,,none,divorced,sometimes,10-May,52,F,53,F,49,F,F
164,female,group E,master's degree,,none,married,never,< 5,76,C,89,B,86,B,B
165,female,group C,bachelor's degree,,completed,married,sometimes,10-May,96,A,100,A,100,A,A
166,male,group C,high school,,completed,single,sometimes,10-May,53,F,51,F,51,F,F
167,female,group B,master's degree,,completed,married,regularly,> 10,62,D,79,C,83,B,C
168,female,group B,high school,,completed,married,regularly,10-May,70,C,84,B,79,C,C
170,male,group A,high school,,completed,divorced,regularly,> 10,76,C,75,C,77,C,C
171,male,group E,some high school,,none,married,sometimes,< 5,91,A,86,B,76,C,B
172,female,group D,some college,,none,single,never,10-May,76,C,84,B,78,C,C
173,female,group C,associate's degree,,none,married,sometimes,10-May,63,D,67,D,70,C,D
174,female,group C,bachelor's degree,,completed,married,sometimes,< 5,41,F,50,F,52,F,F
175,female,group C,master's degree,,completed,divorced,sometimes,10-May,81,B,92,A,89,B,B
176,female,group B,high school,,completed,married,sometimes,< 5,44,F,53,F,56,E,F
177,female,group C,associate's degree,,completed,married,regularly,< 5,70,C,76,C,77,C,C
178,female,group B,master's degree,,completed,divorced,regularly,10-May,54,F,72,C,65,D,D
179,female,group D,some high school,,completed,divorced,regularly,10-May,99,A,100,A,100,A,A
180,male,group C,master's degree,,completed,single,sometimes,< 5,60,D,68,D,75,C,D
181,female,group C,some college,,none,single,sometimes,10-May,46,F,64,D,66,D,F
182,female,group E,high school,,none,married,sometimes,,50,F,50,F,47,F,F
183,female,group D,associate's degree,,none,single,sometimes,< 5,63,D,67,D,68,D,D
185,male,group C,associate's degree,,completed,married,never,< 5,61,D,65,D,62,D,D
186,male,group E,high school,,none,married,never,< 5,75,C,73,C,62,D,C
187,male,group D,some high school,,completed,married,sometimes,10-May,62,D,66,D,68,D,D
188,male,group B,some high school,,none,married,regularly,< 5,47,F,51,F,45,F,F
189,female,group C,bachelor's degree,,none,single,sometimes,< 5,74,C,86,B,85,B,B
190,female,group E,associate's degree,,none,married,sometimes,10-May,66,D,65,D,69,D,D
191,male,group D,some college,,completed,married,sometimes,< 5,73,C,81,B,77,C,C
192,female,group B,some high school,,none,single,sometimes,,62,D,64,D,66,D,D
193,male,group D,some college,,completed,married,regularly,,79,C,62,D,63,D,D
194,female,group C,master's degree,,completed,,regularly,< 5,69,D,85,B,87,B,B
195,male,group D,associate's degree,,none,married,regularly,< 5,60,D,54,F,52,F,F
196,male,group C,,,completed,married,never,10-May,57,E,67,D,63,D,D
197,male,group E,high school,,none,married,,> 10,56,E,56,E,52,F,F
198,female,group B,some college,,none,widowed,regularly,> 10,47,F,54,F,57,E,F
199,female,group B,bachelor's degree,,,married,regularly,10-May,80,B,80,B,77,C,C
200,female,group C,associate's degree,,completed,single,regularly,< 5,66,D,83,B,86,B,C
201,female,group D,some college,,none,divorced,sometimes,< 5,63,D,79,C,75,C,C
202,male,group C,associate's degree,,none,married,sometimes,10-May,69,D,77,C,69,D,C
203,female,,associate's degree,,none,,regularly,10-May,58,E,70,C,69,D,D
204,male,group C,some college,,none,single,regularly,< 5,58,E,40,F,42,F,F
205,male,group D,some high school,,completed,married,,< 5,71,C,69,D,76,C,C
206,male,group E,bachelor's degree,,none,married,regularly,10-May,84,B,62,D,63,D,D
207,male,group E,high school,,completed,married,regularly,10-May,83,B,81,B,77,C,B
208,female,group B,some college,,none,married,regularly,< 5,73,C,80,B,76,C,C
209,female,group B,some college,,,single,sometimes,,58,E,61,D,66,D,D
210,male,group D,some high school,,completed,widowed,sometimes,< 5,77,C,77,C,77,C,C
211,male,group C,some college,,,married,sometimes,10-May,35,F,28,F,27,F,F
212,female,group C,high school,,none,divorced,sometimes,10-May,42,F,62,D,60,D,F
213,male,group C,associate's degree,,completed,single,regularly,10-May,61,D,51,F,57,E,F
214,male,group E,high school,,,married,sometimes,10-May,87,B,91,A,81,B,B
215,male,group B,some high school,,completed,,regularly,10-May,86,B,84,B,76,C,B
216,female,group E,associate's degree,,completed,married,sometimes,< 5,80,B,84,B,86,B,B
217,female,group C,high school,,,married,regularly,< 5,33,F,41,F,39,F,F
218,male,group B,high school,,none,married,sometimes,< 5,64,D,75,C,68,D,D
219,male,group B,some high school,,completed,single,never,10-May,59,E,55,E,54,F,F
220,female,group D,high school,,completed,widowed,regularly,10-May,57,E,69,D,75,C,D
221,male,group B,associate's degree,,none,married,sometimes,> 10,89,B,86,B,74,C,B
222,female,group C,some high school,,,divorced,sometimes,10-May,55,E,65,D,62,D,D
223,male,group D,some high school,,none,married,regularly,10-May,88,B,81,B,76,C,B
224,female,group B,associate's degree,,completed,divorced,regularly,> 10,55,E,67,D,76,C,D
225,female,group E,master's degree,,none,married,sometimes,< 5,43,F,55,E,52,F,F
226,female,group C,some college,,none,married,sometimes,10-May,72,C,72,C,71,C,C
227,male,group D,high school,,none,single,regularly,10-May,58,E,50,F,55,E,F
228,male,group A,,,none,divorced,sometimes,10-May,68,D,72,C,64,D,D
229,female,group C,some college,,completed,married,regularly,> 10,93,A,97,A,98,A,A
230,male,group D,some college,,none,married,regularly,10-May,78,C,64,D,67,D,D
231,male,group C,associate's degree,,none,married,regularly,10-May,47,F,43,F,43,F,F
232,female,group B,bachelor's degree,,none,married,sometimes,10-May,67,D,86,B,83,B,C
233,male,group E,some high school,,none,divorced,sometimes,> 10,94,A,88,B,79,C,B
234,male,group C,bachelor's degree,,completed,married,sometimes,> 10,85,B,83,B,85,B,B
235,male,group D,associate's degree,,none,married,regularly,> 10,84,B,77,C,80,B,B
236,male,group D,bachelor's degree,,none,divorced,regularly,< 5,62,D,65,D,67,D,D
237,female,group D,some high school,,,married,sometimes,< 5,62,D,59,E,72,C,D
238,male,group B,some college,,none,married,regularly,> 10,57,E,53,F,53,F,F
239,male,group C,associate's degree,,none,,sometimes,10-May,84,B,80,B,80,B,B
240,male,group D,high school,,completed,divorced,,> 10,75,C,69,D,67,D,C
241,female,group E,bachelor's degree,,none,single,regularly,10-May,82,B,84,B,85,B,B
243,male,group E,some college,,,single,regularly,< 5,58,E,50,F,43,F,F
244,male,group D,some high school,,none,divorced,regularly,< 5,74,C,73,C,69,D,C
245,male,group C,associate's degree,,none,married,sometimes,< 5,82,B,74,C,69,D,C
246,male,group E,associate's degree,,,married,regularly,10-May,91,A,77,C,75,C,B
247,female,group B,high school,,completed,single,sometimes,10-May,58,E,70,C,68,D,D
248,female,group B,high school,,none,married,sometimes,< 5,63,D,63,D,60,D,D
249,male,,high school,,none,married,sometimes,> 10,70,C,60,D,54,F,D
250,male,group A,some high school,,completed,single,sometimes,10-May,47,F,49,F,49,F,F
251,female,group D,some college,,none,married,regularly,< 5,70,C,82,B,83,B,C
252,female,group B,some high school,,completed,single,sometimes,10-May,60,D,70,C,70,C,D
253,male,group D,master's degree,,none,married,sometimes,,80,B,80,B,72,C,C
254,male,group D,high school,,none,married,sometimes,10-May,54,F,52,F,52,F,F
255,female,group E,some college,,none,single,sometimes,10-May,62,D,73,C,70,C,D
256,female,group C,associate's degree,,none,single,sometimes,< 5,62,D,71,C,66,D,D
257,male,,associate's degree,,completed,married,regularly,10-May,80,B,78,C,78,C,C
260,female,group C,some high school,,completed,married,sometimes,> 10,65,D,80,B,78,C,C
261,male,group C,some college,,completed,married,sometimes,10-May,79,C,79,C,78,C,C
262,female,group C,some high school,,none,married,regularly,10-May,45,F,50,F,52,F,F
263,female,group E,high school,,none,single,sometimes,10-May,99,A,93,A,90,A,A
264,male,group D,high school,,none,married,sometimes,10-May,76,C,73,C,68,D,C
265,male,group D,some high school,,none,divorced,sometimes,< 5,57,E,41,F,40,F,F
266,female,,bachelor's degree,,none,married,sometimes,< 5,61,D,73,C,79,C,C
267,female,group D,high school,,none,married,regularly,10-May,71,C,73,C,78,C,C
268,female,group D,associate's degree,,completed,married,regularly,> 10,93,A,94,A,99,A,A
269,female,group E,some college,,none,married,sometimes,,71,C,76,C,70,C,C
270,male,group C,bachelor's degree,,none,married,sometimes,10-May,69,D,63,D,61,D,D
271,male,group C,some college,,,single,regularly,< 5,57,E,48,F,42,F,F
272,female,group D,associate's degree,,none,single,regularly,10-May,48,F,53,F,59,E,F
273,female,group D,some college,,none,married,sometimes,10-May,65,D,70,C,71,C,D
274,male,group B,some college,,completed,widowed,,< 5,85,B,83,B,74,C,B
275,male,group C,bachelor's degree,,none,married,sometimes,10-May,83,B,78,C,73,C,C
276,female,group C,some high school,,completed,married,sometimes,< 5,82,B,90,A,91,A,B
277,female,group E,,,completed,single,sometimes,< 5,57,E,62,D,73,C,D
278,female,group C,some high school,,none,married,sometimes,10-May,65,D,86,B,80,B,C
279,male,group B,bachelor's degree,,none,widowed,sometimes,10-May,73,C,56,E,57,E,D
281,male,group D,high school,,none,divorced,sometimes,10-May,45,F,48,F,46,F,F
282,female,group D,bachelor's degree,,none,divorced,regularly,10-May,75,C,80,B,86,B,B
283,female,group D,some college,,completed,,never,10-May,67,D,76,C,76,C,C
284,female,,some high school,,none,married,regularly,< 5,36,F,45,F,46,F,F
285,male,group B,associate's degree,,completed,married,never,10-May,78,C,80,B,79,C,C
286,male,group E,associate's degree,,completed,married,regularly,10-May,99,A,83,B,90,A,A
287,female,group B,some high school,,none,married,sometimes,< 5,64,D,87,B,80,B,C
288,male,group B,bachelor's degree,,none,single,sometimes,< 5,85,B,73,C,74,C,C
289,male,,some high school,,completed,married,sometimes,> 10,79,C,77,C,78,C,C
290,male,group C,associate's degree,,none,married,sometimes,10-May,76,C,70,C,68,D,C
291,male,group D,some high school,,none,married,sometimes,< 5,83,B,71,C,68,D,C
292,male,group C,some high school,,completed,married,never,10-May,61,D,59,E,55,E,F
293,female,group E,bachelor's degree,,none,married,sometimes,> 10,66,D,74,C,76,C,C
294,male,group D,high school,,completed,single,regularly,10-May,80,B,78,C,82,B,B
295,male,group B,associate's degree,,none,married,never,> 10,66,D,61,D,59,E,D
296,male,,some high school,,completed,widowed,regularly,10-May,47,F,41,F,44,F,F
297,male,,associate's degree,,completed,single,regularly,10-May,73,C,75,C,69,D,C
298,male,group C,,,completed,single,regularly,< 5,39,F,45,F,50,F,F
299,male,group D,associate's degree,,none,married,regularly,< 5,89,B,86,B,75,C,B
300,male,group A,some college,,completed,married,never,< 5,76,C,75,C,77,C,C
301,male,group D,some high school,,,divorced,regularly,< 5,55,E,53,F,52,F,F
302,female,group C,associate's degree,,completed,single,never,> 10,66,D,83,B,80,B,C
303,male,group B,associate's degree,,none,married,regularly,10-May,82,B,77,C,65,D,C
304,female,group C,associate's degree,,completed,married,regularly,10-May,76,C,76,C,85,B,C
305,male,group A,some college,,none,,sometimes,10-May,69,D,67,D,69,D,D
306,male,group E,some college,,completed,divorced,regularly,10-May,100,A,88,B,83,B,A
307,male,group C,some high school,,none,single,regularly,10-May,52,F,52,F,45,F,F
308,female,group B,associate's degree,,none,married,regularly,> 10,56,E,73,C,70,C,D
309,female,group D,high school,,,single,regularly,< 5,48,F,56,E,52,F,F
310,female,group B,associate's degree,,none,married,sometimes,10-May,73,C,76,C,80,B,C
311,male,group B,bachelor's degree,,none,married,never,< 5,62,D,58,E,54,F,F
312,male,group D,bachelor's degree,,completed,single,sometimes,,67,D,61,D,68,D,D
313,female,group C,associate's degree,,completed,single,sometimes,> 10,70,C,68,D,70,C,D
315,male,group C,high school,,none,married,regularly,10-May,73,C,66,D,66,D,D
316,female,group D,master's degree,,completed,widowed,never,10-May,74,C,80,B,88,B,B
317,male,group C,associate's degree,,none,single,sometimes,10-May,83,B,72,C,78,C,C
318,male,group B,bachelor's degree,,none,married,sometimes,< 5,61,D,69,D,67,D,D
319,female,group D,associate's degree,,none,single,regularly,< 5,55,E,64,D,63,D,D
320,female,group C,high school,,,divorced,sometimes,< 5,64,D,77,C,82,B,C
321,female,group E,high school,,none,married,never,> 10,74,C,85,B,78,C,C
322,female,group C,some college,,none,married,regularly,< 5,70,C,80,B,80,B,C
323,female,group C,some high school,,none,married,sometimes,10-May,40,F,52,F,51,F,F
324,female,group C,high school,,none,divorced,sometimes,< 5,39,F,45,F,42,F,F
325,female,group C,some college,,none,single,sometimes,10-May,82,B,90,A,94,A,B
326,male,group C,some college,,none,married,sometimes,10-May,61,D,61,D,62,D,D
327,male,group A,some college,,none,married,regularly,> 10,29,F,23,F,19,F,F
328,male,group C,associate's degree,,completed,married,sometimes,10-May,82,B,75,C,77,C,C
329,female,group B,some high school,,none,married,sometimes,< 5,39,F,54,F,49,F,F
330,male,group C,high school,,none,single,regularly,< 5,70,C,59,E,61,D,D
331,male,group C,associate's degree,,none,,sometimes,< 5,45,F,36,F,34,F,F
332,male,group E,associate's degree,,completed,married,never,> 10,61,D,55,E,52,F,F
333,male,group B,associate's degree,,none,single,sometimes,10-May,90,A,78,C,81,B,B
334,female,group C,bachelor's degree,,none,,sometimes,,83,B,93,A,95,A,A
335,female,group B,some college,,none,married,regularly,10-May,62,D,69,D,67,D,D
336,male,group D,some high school,,completed,married,regularly,10-May,78,C,71,C,70,C,C
337,male,group C,associate's degree,,none,single,regularly,10-May,50,F,51,F,44,F,F
338,female,group B,some high school,,none,single,sometimes,< 5,23,F,37,F,26,F,F
339,female,group D,some high school,,completed,married,sometimes,10-May,35,F,55,E,60,D,F
340,male,group C,high school,,none,married,regularly,> 10,61,D,62,D,54,F,F
341,female,group C,,,none,married,regularly,10-May,62,D,74,C,64,D,D
342,female,group B,,,completed,single,sometimes,< 5,66,D,74,C,72,C,C
343,male,group D,associate's degree,,completed,single,sometimes,< 5,64,D,70,C,65,D,D
344,male,group D,some college,,none,,regularly,< 5,78,C,72,C,67,D,C
345,female,group C,high school,,none,married,sometimes,10-May,72,C,80,B,75,C,C
346,male,group B,,,none,married,sometimes,10-May,62,D,61,D,57,E,D
347,female,group C,bachelor's degree,,completed,married,regularly,< 5,76,C,93,A,95,A,B
349,male,group E,associate's degree,,none,divorced,regularly,> 10,92,A,76,C,79,C,B
350,female,group B,bachelor's degree,,none,married,sometimes,10-May,52,F,65,D,69,D,D
351,male,group E,some college,,none,married,,> 10,67,D,57,E,53,F,F
352,female,group C,some college,,completed,married,sometimes,< 5,61,D,76,C,78,C,C
353,female,group C,associate's degree,,none,married,regularly,< 5,45,F,57,E,57,E,F
354,female,group C,some college,,none,married,never,< 5,55,E,68,D,66,D,D
355,female,group B,bachelor's degree,,none,single,regularly,> 10,64,D,74,C,73,C,C
356,male,group A,,,none,married,sometimes,10-May,63,D,61,D,61,D,D
357,female,group C,some college,,completed,married,sometimes,< 5,40,F,65,D,67,D,F
359,female,group D,some college,,none,divorced,sometimes,< 5,77,C,88,B,87,B,B
360,female,group B,high school,,none,married,never,10-May,56,E,61,D,57,E,F
361,male,group B,some high school,,completed,single,regularly,10-May,87,B,85,B,79,C,B
362,female,group C,some college,,none,single,regularly,10-May,53,F,58,E,59,E,F
363,female,group D,some high school,,none,single,sometimes,< 5,26,F,33,F,31,F,F
364,male,group C,some college,,none,divorced,regularly,10-May,60,D,60,D,59,E,F
365,male,group A,bachelor's degree,,completed,married,regularly,> 10,51,F,59,E,62,D,F
366,male,group C,high school,,completed,married,sometimes,10-May,69,D,58,E,53,F,D
367,male,group C,bachelor's degree,,none,married,regularly,> 10,64,D,67,D,63,D,D
368,female,group A,some high school,,none,single,sometimes,10-May,44,F,64,D,58,E,F
369,female,group D,some high school,,none,single,regularly,10-May,71,C,83,B,84,B,C
370,male,group E,some college,,none,married,regularly,10-May,86,B,78,C,72,C,C
371,female,group C,some college,,completed,single,sometimes,10-May,45,F,73,C,70,C,D
372,male,group D,some high school,,none,single,sometimes,> 10,76,C,75,C,73,C,C
373,female,group D,some college,,completed,married,sometimes,> 10,84,B,98,A,97,A,A
